,user_id,movie_id,rating
0,misterinfamous,35792500,4.0
1,misterinfamous,36065756,3.0
2,misterinfamous,36308744,1.0
3,misterinfamous,35641752,4.0
4,misterinfamous,35986833,4.0
5,misterinfamous,36328210,4.0
6,misterinfamous,34453198,2.0
7,misterinfamous,34927019,1.0
8,misterinfamous,35725861,3.0
9,misterinfamous,36090457,4.0
10,misterinfamous,36328210,4.0
11,57604339,36328210,5.0
12,57604339,36774001,3.0
13,57604339,35228399,2.0
14,57604339,26816104,4.0
15,57604339,36653918,5.0
16,57604339,36090457,3.0
17,57604339,34996127,4.0
18,57604339,35956190,4.0
19,57604339,36328210,5.0
20,3471163,36328210,5.0
21,3471163,35942301,5.0
22,3471163,27589933,3.0
23,3471163,4942776,4.0
24,3471163,27180759,4.0
25,3471163,26794435,3.0
26,3471163,26728669,4.0
27,3471163,27191431,5.0
28,3471163,26290410,4.0
29,3471163,36328210,5.0
30,64192242,35792500,4.0
31,64192242,1293351,4.0
32,64192242,36653918,3.0
33,64192242,36089988,1.0
34,64192242,36328210,5.0
35,64192242,35792500,4.0
36,64192242,36090457,4.0
37,64192242,36328210,5.0
38,64106307,36328210,4.0
39,64106307,36081094,4.0
40,64106307,33456512,4.0
41,64106307,35451890,3.0
42,64106307,26649682,4.0
43,64106307,35208467,2.0
44,64106307,36328210,4.0
45,178131964,36108875,2.0
46,178131964,36847744,1.0
47,178131964,35792500,4.0
48,178131964,36089988,1.0
49,178131964,36369452,4.0
50,178131964,2998451,3.0
51,178131964,36424361,4.0
52,178131964,27069431,4.0
53,178131964,35932858,5.0
54,178131964,35840846,3.0
55,178131964,35792500,4.0
56,mbbbbbbbcker,35792500,4.0
57,mbbbbbbbcker,26957900,5.0
58,mbbbbbbbcker,36092115,3.0
59,mbbbbbbbcker,34996127,5.0
60,mbbbbbbbcker,34937650,5.0
61,mbbbbbbbcker,36069854,4.0
62,mbbbbbbbcker,35268614,5.0
63,mbbbbbbbcker,36190889,5.0
64,mbbbbbbbcker,35314844,5.0
65,mbbbbbbbcker,35575567,5.0
66,mbbbbbbbcker,35792500,4.0
67,63920700,36114521,3.0
68,63920700,35700151,2.0
69,63920700,36149380,4.0
70,63920700,36738902,4.0
71,63920700,35792500,5.0
72,63920700,35891632,5.0
73,63920700,26957900,5.0
74,63920700,36473201,5.0
75,63920700,36068379,4.0
76,63920700,36086210,2.0
77,63920700,35792500,5.0
78,237658325,35792500,5.0
79,237658325,35792500,5.0
80,dreamfox,35792500,5.0
81,dreamfox,36484198,4.0
82,dreamfox,26957900,4.0
83,dreamfox,26370387,4.0
84,dreamfox,36653918,4.0
85,dreamfox,36877322,4.0
86,dreamfox,35490167,4.0
87,dreamfox,1299415,3.0
88,dreamfox,30359440,4.0
89,dreamfox,1295292,4.0
90,dreamfox,35792500,5.0
91,Luna-cat,36220880,4.0
92,Luna-cat,35561839,5.0
93,Luna-cat,35633904,4.0
94,Luna-cat,36774001,4.0
95,Luna-cat,26370387,5.0
96,Luna-cat,36653918,5.0
97,Luna-cat,36481449,3.0
98,Luna-cat,35633904,4.0
99,181097401,35633904,5.0
100,181097401,35792500,3.0
101,181097401,36363001,3.0
102,181097401,36463483,1.0
103,181097401,36774001,2.0
104,181097401,35633856,2.0
105,181097401,26370387,1.0
106,181097401,26816104,4.0
107,181097401,26957900,1.0
108,181097401,36188895,2.0
109,181097401,35633904,5.0
110,161407652,36328210,5.0
111,161407652,36328210,5.0
112,161407652,36742889,4.0
113,161407652,35633904,3.0
114,161407652,25662327,3.0
115,161407652,35750081,5.0
116,161407652,35750081,5.0
117,161407652,35633904,3.0
118,99767944,35633904,4.0
119,99767944,36774001,5.0
120,99767944,11516684,4.0
121,99767944,35633904,4.0
122,straightman,35633904,4.0
123,straightman,35095466,4.0
124,straightman,35588223,5.0
125,straightman,35448384,4.0
126,straightman,10810266,4.0
127,straightman,35373064,4.0
128,straightman,35205074,4.0
129,straightman,34841067,4.0
130,straightman,27619748,5.0
131,straightman,35295915,4.0
132,straightman,35633904,4.0
133,EmeraldKinoko,36097760,5.0
134,EmeraldKinoko,26816104,3.0
135,EmeraldKinoko,36494025,3.0
136,EmeraldKinoko,35665988,3.0
137,EmeraldKinoko,35665988,3.0
138,EmeraldKinoko,34937650,4.0
139,EmeraldKinoko,36640254,4.0
140,EmeraldKinoko,36073535,4.0
141,EmeraldKinoko,26816104,3.0
142,ruo1996,36657783,4.0
143,ruo1996,26816104,4.0
144,ruo1996,35970338,4.0
145,ruo1996,35095466,4.0
146,ruo1996,36067150,4.0
147,ruo1996,35453251,4.0
148,ruo1996,35282433,4.0
149,ruo1996,36003014,4.0
150,ruo1996,35212272,4.0
151,ruo1996,36686523,4.0
152,ruo1996,26816104,4.0
153,maloy,1302874,3.0
154,maloy,3173528,4.0
155,maloy,26816104,2.0
156,maloy,3155750,4.0
157,maloy,3155765,4.0
158,maloy,34947671,4.0
159,maloy,26816104,2.0
160,xzfd,26816104,5.0
161,xzfd,35231719,3.0
162,xzfd,35505100,3.0
163,xzfd,35422807,4.0
164,xzfd,27044385,3.0
165,xzfd,26826330,4.0
166,xzfd,26816104,5.0
167,Allan.Vr,36774001,2.0
168,Allan.Vr,26816104,2.0
169,Allan.Vr,35575567,3.0
170,Allan.Vr,33456512,3.0
171,Allan.Vr,30334962,4.0
172,Allan.Vr,35424892,3.0
173,Allan.Vr,35672437,2.0
174,Allan.Vr,35766491,3.0
175,Allan.Vr,35372742,2.0
176,Allan.Vr,34969348,4.0
177,Allan.Vr,26816104,2.0
178,166131822,35118954,4.0
179,166131822,26616436,5.0
180,166131822,35242872,5.0
181,166131822,6853871,4.0
182,166131822,10571509,5.0
183,166131822,1972738,5.0
184,166131822,36065756,4.0
185,166131822,24697552,5.0
186,166131822,36934908,4.0
187,166131822,35166209,5.0
188,166131822,36934908,4.0
189,lvchuan,36934908,4.0
190,lvchuan,1309071,5.0
191,lvchuan,30471496,5.0
192,lvchuan,27194292,5.0
193,lvchuan,10741871,5.0
194,lvchuan,35086738,5.0
195,lvchuan,27115563,5.0
196,lvchuan,36934908,4.0
197,144069840,36934908,5.0
198,144069840,36934908,5.0
199,3914518,36934908,3.0
200,3914518,34607516,3.0
201,3914518,36934908,3.0
202,madamyx,36247292,4.0
203,madamyx,36198709,3.0
204,madamyx,37013995,4.0
205,madamyx,36715729,3.0
206,madamyx,36976240,3.0
207,madamyx,36328210,4.0
208,madamyx,36742889,3.0
209,madamyx,36436463,3.0
210,madamyx,36934908,4.0
211,madamyx,36210102,4.0
212,madamyx,36934908,4.0
213,dianmojingchen,35228399,1.0
214,dianmojingchen,3986152,4.0
215,dianmojingchen,35228399,1.0
216,210312834,35228399,1.0
217,210312834,35797771,1.0
218,210312834,34941536,5.0
219,210312834,10604086,5.0
220,210312834,34429670,4.0
221,210312834,35231822,1.0
222,210312834,35228399,1.0
223,Somatization,35228399,2.0
224,Somatization,35228399,2.0
225,127632179,35228399,1.0
226,127632179,35494829,3.0
227,127632179,35457272,3.0
228,127632179,27619748,1.0
229,127632179,34603816,5.0
230,127632179,30166972,5.0
231,127632179,27010768,5.0
232,127632179,25966044,4.0
233,127632179,26971159,5.0
234,127632179,26633257,3.0
235,127632179,35228399,1.0
236,198413206,35228399,1.0
237,198413206,35360684,4.0
238,198413206,35228399,1.0
239,85309565,36877322,2.0
240,85309565,26656728,5.0
241,85309565,35242872,2.0
242,85309565,35242872,2.0
243,55606386,35242872,2.0
244,55606386,24695611,5.0
245,55606386,35242872,2.0
246,even2even,36328210,4.0
247,even2even,36847744,1.0
248,even2even,35633904,3.0
249,even2even,36484198,2.0
250,even2even,35792500,4.0
251,even2even,36520422,4.0
252,even2even,35228399,3.0
253,even2even,36463483,3.0
254,even2even,26370387,2.0
255,even2even,26957900,4.0
256,even2even,35242872,2.0
257,wangranran,36909754,4.0
258,wangranran,26370387,4.0
259,wangranran,1303534,4.0
260,wangranran,36481449,1.0
261,wangranran,36089988,4.0
262,wangranran,35242872,4.0
263,wangranran,36016451,3.0
264,wangranran,1293456,5.0
265,wangranran,34937650,4.0
266,wangranran,35242872,4.0
267,houtouchong,36463483,4.0
268,houtouchong,26370387,4.0
269,houtouchong,36090457,5.0
270,houtouchong,35242872,5.0
271,houtouchong,34880018,4.0
272,houtouchong,27150277,4.0
273,houtouchong,35432278,4.0
274,houtouchong,26649682,4.0
275,houtouchong,35360684,4.0
276,houtouchong,27031463,4.0
277,houtouchong,35242872,5.0
278,218440868,26370387,1.0
279,218440868,36207284,1.0
280,218440868,34940879,4.0
281,218440868,35432345,2.0
282,218440868,35814176,1.0
283,218440868,35766491,3.0
284,218440868,34940879,4.0
285,68490361,34940879,3.0
286,68490361,35242938,3.0
287,68490361,35154957,3.0
288,68490361,35158157,5.0
289,68490361,34940879,3.0
290,4448539,34940879,5.0
291,4448539,35633650,5.0
292,4448539,35766491,4.0
293,4448539,35235502,4.0
294,4448539,6981153,5.0
295,4448539,30198539,5.0
296,4448539,5300054,5.0
297,4448539,34940879,5.0
298,austim,34940879,4.0
299,austim,34940879,4.0
300,39690610,35426925,5.0
301,39690610,36245685,4.0
302,39690610,35863319,5.0
303,39690610,36491177,5.0
304,39690610,36464506,4.0
305,39690610,30334962,4.0
306,39690610,34940879,4.0
307,39690610,36093612,4.0
308,39690610,34940879,4.0
309,sevensuns,26752088,5.0
310,sevensuns,1297995,2.0
311,sevensuns,1293351,5.0
312,2083044,27149755,4.0
313,2083044,33412889,4.0
314,2083044,26602900,4.0
315,2083044,30292777,5.0
316,2083044,1291851,5.0
317,2083044,1308817,4.0
318,2083044,2002743,3.0
319,2083044,1872161,5.0
320,2083044,1293351,5.0
321,songli85,1293351,4.0
322,songli85,2209368,3.0
323,songli85,2346881,4.0
